Instrument,Price,Last Modified,Location,Description
Korg Ms 20,"€ 1.300,00",,Montebelluna (TV),"classicone monofonico primi anni 80, mk2, ottime condizioni..."
Hohner CLAVINET D6 + CUSTODIA,"€ 4.100,00",,MESTRINO (PD),"Tastiera HOHNER CLAVINET D6 con CUSTODIA inclusa. Usato garantito, in ottime condizioni. Disponibile per prova in negozio.

Tasti: 60 (F-E)
Controlli: Brilliant, Treble, Medium, Soft, C/D, A/B, Vol..."
Roland D50 (1),prezzo su richiesta,,Luni (SP),Roland D50 in ottime condizioni e completo di custodia rigida. Lo consegnamo totalmente revisionato e garantito 12 mesi....
Korg MINIKORG 700 FS USATO,"€ 1.789,00",,Napoli (NA),"Il sintetizzatore miniKORG 700FS è un?autentica riedizione in tiratura limitata del primo sintetizzatore analogico prodotto dalla KORG nel 1973, che ritorna equipaggiato di funzioni aggiuntive quali a..."
Crumar Roadrunner/2,prezzo su richiesta,,Luni (SP),CRUMAR Roadrunner/2 revisionata e garantita 12 mesi. Contattaci...
Arturia KeyLab Essential 49 Usato negozio,"€ 229,00",,Napoli (NA),"PANHARMONIKON OUTLET: 081298857—0815521427-3939691545

siamo a vostra completa disposizione al fisso fino alle 18:30 a cellulare sempre reperibili festivi compresi , richiedeteci foto tramite whats ..."
Roland Jupiter-X Usato,"€ 2.199,00",,Napoli (NA),"Sin dal lancio del Jupiter 4 nel 1978, il nome Jupiter ha rappresentato il vertice del suono Roland. Jupiter-X combina il classico design Roland ed una qualità costruttiva superiore con un potente nuo..."
Roland GAIA SH01 USATO NEGOZIO,"€ 555,00",,Napoli (NA),"Pagamenti accettati 
* Contrassegno
* Bonifico Bancario
* Vaglia Postale
* Carta di credito
* Sistemi Web
* Finanziamento
* Carta del Docente

Carte di Credito, Sistemi Web e altre carte
Sol..."
"Korg EX, Korg PA1XPRO, Yamaha, Roland, Nord C1, Kurzweil",prezzo su richiesta,,Lissone (MB),"vendo varie tastiere e sintetizzatori come da elenco, tutte in ottime condizioni sia estetiche che funzìonali. Spedisco...."
TASTIERA ROLAND FANTOM 7 USATO IMMACOLATO CON GARANZIA RESIDUA 12 MESI,"€ 2.900,00",,,"MUSICALANDIA: 338/7660205  0332/771508
tastiera roland fantom 7 usato negozio
condizioni pari al nuovo perfetto con garanzia 12 mesi..."
Doepfer A-132-3 DVCA,prezzo su richiesta,,Luni (SP),Perfettamente funzionante...
Oberheim DSX,prezzo su richiesta,,Luni (SP),Sequencer polifonico digitale Oberheim DSX in ottime condizioni e perfettamente funzionante. Contattaci per qualsiasi info...
Korg Volca Sample usato negozio,"€ 129,00",,Napoli (NA),"
PANHARMONIKON OUTLET: 081298857—0815521427-3939691545

siamo a vostra completa disposizione al fisso fino alle 18:30 a cellulare sempre reperibili festivi compresi , richiedeteci foto tramite what..."
Yamaha DX7S,prezzo su richiesta,,Luni (SP),"Condizioni spettacolari, revisionato pulito e garantito 12 mesi. Lo Yamaha DX7S è una versione successiva dello Yamaha DX7 con più memoria patch e una migliore implementazione MIDI. Ha anche un DAC mi..."
Access Virus TI 2 Keyboard USATO NEGOZIO,"€ 1.890,00",,Napoli (NA),"
PANHARMONIKON OUTLET: 081298857—0815521427-3939691545

siamo a vostra completa disposizione al fisso fino alle 18:30 a cellulare sempre reperibili festivi compresi , richiedeteci foto tramite what..."
Nord Lead 4 e librerie aggiuntive scambio con Prophet Rev 2 / Possibile permuta,"€ 1.438,90",,,Nord Lead 4 e librerie aggiuntive scambio con Prophet Rev 2 / Possibile permuta...
BEHRINGER TD-3 Silver- analog bass syntesizer - possibilità di scambio o permuta,prezzo su richiesta,,,BEHRINGER TD-3 Silver - analog bass syntesizer - possibilità di scambio o permuta...
Thomas Synthi 1055(1),prezzo su richiesta,,Luni (SP),"Il Synthi 1055 è stato progettato come miglioramento del Moog Satellite, ed è un monosynth preimpostato analogico con una tastiera a 3 1/2 ottave e 44 note (FA-C) (7 note in più rispetto al Satellite)..."
Crumar Multiman S2,prezzo su richiesta,,Luni (SP),Crumar Multiman S2 in condizioni spettacolari. Viene consegnato revisionato e garantito 12 mesi....
Quasimidi 309 RAVE-O-LUTION,prezzo su richiesta,,Luni (SP),Interessantissima groove box synth di Qausimidi. Disponibile nel nostro laboratorio....
Korg Ms 20,prezzo su richiesta,,Luni (SP),"Sintetizzatore Korg Ms 20, In fase di revisione. Disponibile presso il nostro laboratorio...."
Korg RADIAS-KB SYNTH,"€ 268,00",,,"Prodotto aperto solo per mostra vetrina,garanzia 2 anni
stato pari al nuovo
on RADIAS, passato presente e futuro convergono in uno strumento eccezionale, il sogno del vero appassionato di sintesi.
..."
Roland SH3A + CV Gate,prezzo su richiesta,,Luni (SP),L'SH-3A è un sintetizzatore analogico monofonico prodotto dalla Roland dal 1975 al 1981. È unico in quanto è capace sia di sintesi sottrattiva che additiva. Due LFO e una sezione unica di sample-and-h...
Roland TASTIERA FA 07 USATO,"€ 1.100,00",,,"MUSICALANDIA: 338/7660205  0332/771508
roland fa 07 utilizzata pochissimo da nostro cliente che vorrebbe passare alla versione 88 tasti fa 08


..."
Tastiera Yamaha MX61 black,"€ 450,00",,Cesena (FC),"Ottime condizioni.
NO IMBALLO..."
Crumar Organizer T2,prezzo su richiesta,,Luni (SP),CRUMAR T2 Organizer in buone condizioni estetiche. Completo di case lid originale. Completamente revisionato nel nostro laboratorio. Contattaci per maggiori informazioni...
MOOG LITTLE PHATTY,"€ 899,00",,SERRAVALLE di Rep. di San Marino (XX),MOOG LITTLE PHATTY...
TASTIERA YAMAHA MODX 7,"€ 1.299,00",,SERRAVALLE di Rep. di San Marino (XX),TASTIERA YAMAHA MODX 7...
YAMAHA CS-10 analog synth ( no cs-5 Cs 5 ),"€ 988,00",,,YAMAHA CS-10...
Korg MS 20,prezzo su richiesta,,Luni (SP),"Storico sintetizzatore monofonico Korg MS20, condizioni estetiche veramente ottime. Perfetto in ogni funzione, 12 mesi di Garanzia...."
TASTIERA ROLAND GAIA SH 01,"€ 599,00",,SERRAVALLE di Rep. di San Marino (XX),TASTIERA ROLAND GAIA SH 01...
Korg Volca NuBass  USATO NEGOZIO,"€ 139,00",,Napoli (NA),"PANHARMONIKON OUTLET: 081298857—0815521427-3939691545

siamo a vostra completa disposizione al fisso fino alle 18:30 a cellulare sempre reperibili festivi compresi , richiedeteci foto tramite whats ..."
Crumar Orchestrator,prezzo su richiesta,,Luni (SP),"Buone condizioni estetiche e totalmente revisionato nel nostro laboratorio. Mancano le manopole degli sliders. Perfetto in ogni funzione. Nel 1977, Crumar ha introdotto l'Orchestrator (chiamato Multim..."
Logan String Melody,prezzo su richiesta,,Luni (SP),Disponibile e revisionata presso il nostro laboratorio. La tastiera è composta da quattro ottave suddivise in due intervalli di dimensioni quasi uguali. In ciascuna di queste gamme è possibile mixare ...
Oberheim Matrix 6,prezzo su richiesta,,Luni (SP),"Ottime condizioni, revisionato e garantito 12 mesi. Anche il Matrix 6 è come l'Xpander, ma con solo 6 voci di polifonia e una programmazione più snella. Ognuna delle sue 6 voci ha una coppia di DCO, u..."
Ace Tone FR-3,prezzo su richiesta,,Luni (SP),Batteria Elettronica Ace Tone mod. FR-3 in ottime condizioni estetiche e funzionali. Usato garantito 12 mesi...
Yamaha DX21 Digital FM Synthesizer,prezzo su richiesta,,,Yamaha DX21 Digital FM Synthesizer...
BEHRINGER MODEL D - possibilità di scambio o permuta,"€ 318,90",,,BEHRINGER MODEL D - possibilità di scambio o permuta...
FLASH MEMORY ESPANSIONE YAMAHA FL1024M PER MODELLI XF OPPURE TYROS 4,"€ 200,00",,,"MUSICALANDIA: 338/7660205  0332/771508
FLASH MEMORY ESPANSIONE YAMAHA FL1024M PER MODELLI XF OPPURE TYROS 4..."
YAMAHA MX 61 con borsa originale | possibile scambio o permuta,"€ 538,90",,,YAMAHA MX 61 con borsa originale | possibile scambio o permuta...
Arp AXXE (2),prezzo su richiesta,,Luni (SP),Esteticamente presenta i segni del tempo ma perfetto sotto ogni punto di vista e funzionale. Revisionato e garantito 12 mesi....
Logan String Melody 1,prezzo su richiesta,,Luni (SP),"Pronta all’uso, completamente revisionata e garantita 12 mesi.

La LOGAN String Melody è senza dubbio una delle String Machine più ricercate anche all’estero.

Orgoglio italiano...."
Korg Volca Kick USATO NEGOZIO,"€ 109,00",,Napoli (NA),"
PANHARMONIKON OUTLET: 081298857—0815521427-3939691545

siamo a vostra completa disposizione al fisso fino alle 18:30 a cellulare sempre reperibili festivi compresi , richiedeteci foto tramite what..."
MODULI EURORACK,prezzo su richiesta,,Montebelluna (TV),"Moduli EURORACK disponibili (aggiornato 12 febbraio 2022)

DOEPFER A 190 1 MCVS   110 €
DOEPFER A 108 VCF8     100 €
DOEPFER A 100 DIY      100 €
PITTSBURG MIXER      100 €
PITTSBURG VILFO      ..."
Sequential Circuits Prophet 2000,prezzo su richiesta,,Luni (SP),Prophet 2000 è un campionatore di tastiera digitale a 8 voci. La particolarità più interessante del sintetizzatore è nel suo percorso analogico basato su CEM3379 per ciascuna voce: un filtro passa-bas...
